Nombre del vehículo,Velocidad Máxima (Km/h),Aceleración 0 a 100 Km/h (seg),Rango (Km),Carga rápida (Km/h),Europa (€)
Peugeot e-5008 73 kWh,170.0,9.0,370.0,430.0,50666.666666666664
Dacia Spring Electric 65 Extreme,125.0,13.7,160.0,170.0,24550.0
Peugeot e-2008 54 kWh,150.0,9.1,300.0,480.0,39023.333333333336
Polestar 2 Long Range Dual Motor,205.0,4.5,450.0,670.0,53475.0
Fisker Ocean Sport,160.0,7.4,360.0,480.0,41596.666666666664
Volkswagen ID.5 Pro,180.0,6.7,455.0,680.0,51300.0
Volvo EX40 Single Motor,180.0,7.3,345.0,530.0,47313.333333333336
Peugeot e-308,170.0,9.8,300.0,450.0,42953.333333333336
Volkswagen ID.3 Pro S - 4 Seats,160.0,7.9,455.0,680.0,46151.666666666664
Nissan Leaf e+,157.0,6.9,340.0,240.0,41100.0
Voyah Free 106 kWh,200.0,4.4,480.0,360.0,74150.0
BMW iX M60,250.0,3.8,485.0,650.0,132419.33333333334
XPENG P7 Wing Edition,200.0,4.1,455.0,730.0,70394.0
Peugeot e-5008 98 kWh Long Range,170.0,9.7,490.0,640.0,58333.333333333336
Peugeot e-208 51 kWh,150.0,8.2,310.0,480.0,36631.666666666664
VinFast VF 9 Extended Range,200.0,6.5,520.0,520.0,90545.0
CUPRA Born VZ,160.0,5.7,460.0,690.0,49000.0
Volvo EX40 Twin Motor,180.0,4.8,385.0,570.0,58697.5
Kia EV6 Standard Range 2WD,185.0,8.5,305.0,750.0,45242.5
Porsche Taycan Turbo GT,290.0,2.3,475.0,1050.0,225400.0
Lucid Air Touring,250.0,3.2,580.0,970.0,100500.0
Audi Q8 e-tron 50 quattro,200.0,6.0,425.0,660.0,71195.0
MG Marvel R,200.0,7.9,365.0,400.0,45737.5
CUPRA Tavascan VZ,180.0,5.6,430.0,640.0,57666.666666666664
Nissan Ariya 63kWh,160.0,7.5,335.0,450.0,44041.666666666664
Jaguar I-Pace EV400,200.0,4.8,380.0,360.0,85948.33333333333
GWM ORA 3 48 kWh,160.0,8.3,260.0,240.0,35492.5
Citroen e-C4 X,150.0,9.7,285.0,460.0,36071.666666666664
Opel Corsa Electric 50 kWh,150.0,8.7,295.0,470.0,34031.333333333336
Skoda Enyaq 85x,180.0,6.6,440.0,660.0,49877.5
Volkswagen ID.3 GTX,180.0,6.0,460.0,690.0,49000.0
BMW iX2 eDrive20,170.0,8.6,395.0,530.0,50330.333333333336
Audi SQ6 e-tron,230.0,4.3,445.0,890.0,95583.33333333333
Audi Q4 e-tron 45 quattro,180.0,6.6,395.0,590.0,54663.333333333336
Volkswagen ID.4 Pro 4MOTION,180.0,6.6,425.0,630.0,50505.0
Polestar 3 Long Range Dual motor,210.0,5.0,490.0,640.0,82813.33333333333
XPENG G9 RWD Long Range,200.0,6.4,480.0,1120.0,62394.0
Ford Explorer Standard Range RWD,160.0,9.0,280.0,350.0,41275.0
Volkswagen ID.4 GTX,180.0,5.4,420.0,630.0,56036.666666666664
BMW i5 eDrive40 Touring,193.0,6.1,455.0,730.0,73922.33333333333
Volvo EC40 Single Motor ER,180.0,7.3,420.0,630.0,54996.666666666664
Volkswagen ID.4 Pure,160.0,9.0,285.0,360.0,42662.5
XPENG G9 RWD Standard Range,200.0,6.4,395.0,830.0,58394.0
Lotus Emeya,250.0,4.2,530.0,1230.0,104113.33333333333
XPENG P7 RWD Long Range,200.0,6.7,495.0,800.0,50394.0
Aiways U5,150.0,7.5,315.0,380.0,41256.5
NIO ET7 100 kWh,200.0,3.8,505.0,530.0,92400.0
Mercedes-Benz EQB 300 4MATIC,160.0,8.0,345.0,500.0,58449.0
Genesis GV60 Premium,185.0,7.8,390.0,1020.0,53905.0
Volvo EX90 Twin Motor,180.0,5.9,465.0,610.0,92316.66666666667
SsangYong Korando e-Motion,156.0,8.5,290.0,330.0,40240.0
Mercedes-Benz EQS 450 4MATIC,210.0,5.6,610.0,910.0,115157.0
Skoda Enyaq Coupe RS,180.0,5.5,455.0,680.0,60603.333333333336
