Nombre del vehículo,Velocidad máxima,Tiempo de 0 a 100 km/h,Rango,Velocidad de carga rápida,Batería utilizable
Enyaq Coupe 85x,180 km/h,6.6 sec,470 km,700 km/h,77
i5 xDrive40 Sedan,215 km/h,5.4 sec,455 km,730 km/h,81.2
EL7 100 kWh,200 km/h,3.9 sec,430 km,450 km/h,90
E-HS9 120 kWh,200 km/h,4.9 sec,460 km,420 km/h,112
G80 Electrified Luxury,225 km/h,4.9 sec,440 km,880 km/h,82.5
Corsa Electric 51 kWh,150 km/h,8.1 sec,315 km,490 km/h,48.1
EC40 Twin Motor,180 km/h,4.8 sec,400 km,600 km/h,79
Countryman SE ALL4,180 km/h,5.6 sec,370 km,500 km/h,64.7
MG5 Electric Standard Range,185 km/h,7.7 sec,265 km,320 km/h,46
Grecale Folgore,220 km/h,4.1 sec,405 km,440 km/h,95
Megane E-Tech EV60 130hp,150 km/h,10.5 sec,380 km,530 km/h,60
ID. Buzz LWB Pro S,160 km/h,8.0 sec,370 km,470 km/h,86
e-C4 X 54 kWh,150 km/h,10.0 sec,330 km,470 km/h,50.8
2 Long Range Performance,205 km/h,4.2 sec,450 km,670 km/h,79
G9 AWD Performance,200 km/h,3.9 sec,465 km,1080 km/h,93.1
ET5 Touring 100 kWh,200 km/h,4.0 sec,485 km,700 km/h,90
Ariya e-4ORCE 87kWh - 225 kW,200 km/h,5.7 sec,405 km,480 km/h,87
EQE SUV 350 4MATIC,210 km/h,6.6 sec,435 km,550 km/h,90.6
Townstar EV Passenger,132 km/h,12.6 sec,225 km,230 km/h,45
EX90 Twin Motor Performance,180 km/h,4.9 sec,450 km,590 km/h,107
5 E-Tech 40kWh 120hp,140 km/h,9.0 sec,260 km,340 km/h,40
EQS SUV Maybach 680,210 km/h,4.4 sec,490 km,620 km/h,118
e-308 SW,150 km/h,9.0 sec,300 km,450 km/h,50.8
EQS SUV 580 4MATIC,210 km/h,4.7 sec,530 km,670 km/h,118
#3 Pro,180 km/h,5.9 sec,265 km,340 km/h,47
ID.3 GTX Performance,200 km/h,5.6 sec,460 km,690 km/h,79
500e Hatchback 24 kWh,135 km/h,9.0 sec,135 km,230 km/h,21.3
e-Soul 64 kWh,167 km/h,7.9 sec,370 km,350 km/h,64
Tavascan Endurance,180 km/h,6.8 sec,450 km,670 km/h,77
Taycan Turbo S,260 km/h,2.4 sec,500 km,1100 km/h,97
3 E-Tense,150 km/h,9.0 sec,300 km,480 km/h,50.8
500e 3+1 42 kWh,150 km/h,9.0 sec,235 km,390 km/h,37.3
EQA 300 4MATIC,160 km/h,7.7 sec,350 km,500 km/h,66.5
UX 300e,160 km/h,7.5 sec,340 km,170 km/h,64
EQE 350,210 km/h,6.4 sec,515 km,650 km/h,89
ID.5 GTX,180 km/h,5.5 sec,430 km,640 km/h,77
Mokka-e 54 kWh,150 km/h,9.0 sec,290 km,460 km/h,50.8
e-C4 54 kWh,150 km/h,10.0 sec,330 km,470 km/h,50.8
#1 Pro,180 km/h,6.7 sec,250 km,320 km/h,47
EQS SUV 450 4MATIC,210 km/h,6.1 sec,530 km,670 km/h,118
EQS AMG 53 4MATIC+,250 km/h,3.4 sec,535 km,800 km/h,108.4
EQE AMG 43 4MATIC,210 km/h,4.2 sec,450 km,670 km/h,90.6
Eletre S,250 km/h,4.5 sec,480 km,1000 km/h,109
e-Berlingo XL 50 kWh,132 km/h,11.7 sec,230 km,340 km/h,50
EC40 Single Motor,180 km/h,7.3 sec,360 km,560 km/h,67
3 Long Range Performance,210 km/h,4.7 sec,470 km,610 km/h,107
EQE SUV 500 4MATIC,210 km/h,4.9 sec,455 km,630 km/h,96
Mustang Mach-E SR AWD,180 km/h,6.2 sec,350 km,430 km/h,72.6
Taycan 4S,250 km/h,3.7 sec,475 km,1050 km/h,82.3
Emeya S,250 km/h,4.2 sec,530 km,1230 km/h,100
EQE SUV 300,210 km/h,7.6 sec,450 km,570 km/h,90.6
EQE 350 4MATIC,210 km/h,6.3 sec,510 km,640 km/h,89
GV70 Electrified Sport,235 km/h,4.2 sec,350 km,860 km/h,74
001 Privilege AWD,200 km/h,3.8 sec,495 km,670 km/h,94
ET5 75 kWh,200 km/h,4.0 sec,395 km,590 km/h,70.5
DOLPHIN 44.9 kWh Boost,160 km/h,8.0 sec,255 km,260 km/h,44.9
e-Berlingo M 50 kWh,132 km/h,11.7 sec,235 km,350 km/h,50
e-3008 73 kWh Dual Motor,180 km/h,6.4 sec,380 km,440 km/h,73
Q4 Sportback e-tron 45 quattro,180 km/h,6.6 sec,415 km,620 km/h,77
Born 170 kW - 58 kWh,160 km/h,6.6 sec,345 km,460 km/h,58
EQE SUV 350+,210 km/h,6.9 sec,475 km,660 km/h,96
#3 Pro+,180 km/h,5.8 sec,355 km,550 km/h,62
EQV 300 Long,160 km/h,12.1 sec,315 km,320 km/h,90
Emeya R,256 km/h,2.8 sec,470 km,1090 km/h,100
EQS 500 4MATIC,210 km/h,4.8 sec,590 km,880 km/h,108.4
EX40 Twin Motor Performance,180 km/h,4.6 sec,380 km,570 km/h,79
#1 Premium,180 km/h,6.7 sec,335 km,520 km/h,62
EQE 500 4MATIC,210 km/h,4.7 sec,505 km,750 km/h,90.6
EX90 Single Motor,180 km/h,8.4 sec,460 km,600 km/h,101
EC40 Twin Motor Performance,180 km/h,4.6 sec,400 km,600 km/h,79
Enyaq RS,180 km/h,5.5 sec,435 km,650 km/h,77
P7 AWD Performance,200 km/h,4.1 sec,460 km,740 km/h,82.7
EQT 200 Standard,132 km/h,12.6 sec,225 km,230 km/h,45
Taycan Plus Sport Turismo,230 km/h,4.8 sec,515 km,1130 km/h,97
Q4 Sportback e-tron 55 quattro,180 km/h,5.4 sec,415 km,620 km/h,77
EQS SUV 500 4MATIC,210 km/h,5.3 sec,530 km,670 km/h,118
500e Cabrio 42 kWh,150 km/h,9.0 sec,230 km,380 km/h,37.3
e.wave X,135 km/h,12.0 sec,150 km,-,27
e-Soul 39.2 kWh,157 km/h,9.9 sec,230 km,200 km/h,39.2
VF 8 Eco Extended Range,200 km/h,5.9 sec,425 km,550 km/h,87.7
Ariya e-4ORCE 87kWh - 290 kW,200 km/h,5.1 sec,405 km,480 km/h,87
EQA 350 4MATIC,160 km/h,6.0 sec,350 km,500 km/h,66.5
500e Hatchback,155 km/h,7.0 sec,225 km,370 km/h,37.8
SQ8 e-tron Sportback,210 km/h,4.5 sec,480 km,610 km/h,106
EQE AMG 53 4MATIC+,220 km/h,3.5 sec,450 km,670 km/h,90.6
Taycan 4 Cross Turismo,220 km/h,4.7 sec,505 km,1110 km/h,97
i5 M60 xDrive Touring,230 km/h,3.9 sec,415 km,670 km/h,81.2
Taycan 4S Cross Turismo,240 km/h,3.8 sec,505 km,1110 km/h,97
EQE SUV AMG 43 4MATIC,210 km/h,4.3 sec,415 km,620 km/h,90.6
Q8 e-tron Sportback 50 quattro,200 km/h,6.0 sec,445 km,690 km/h,89
ORA 3 GT,160 km/h,8.2 sec,325 km,280 km/h,59.3
e-5008 73 kWh Dual Motor,170 km/h,6.0 sec,365 km,420 km/h,73
eVito Tourer Long 90 kWh,160 km/h,12.1 sec,320 km,320 km/h,90
Enyaq Coupe 60,160 km/h,8.8 sec,355 km,480 km/h,58
